Author,,Title
Abbot,Edwin A,Flatland
Achebe,Chinua,Things fall apart
Adams,Richard,Watership Down
Adams,Richard,Girl on a swing
Adams,Douglas,The Hitchhiker's Guide to the Galaxy
Adams,Douglas,Dirk Gently's Holistic Detective agency
Aeschylus,,Eumenides
Aeschylus,,Prometheus Bound
Alcott,Louisa May,Little Women
Alcott,Louisa May,Little Men
Alexander,Lloyd,The Black Cauldren
Alexander,Lloyd,The Book of Three
Alexander,Lloyd,The Black Cauldron
Alexander,Lloyd,The Castle of Llyr
Alexander,Lloyd,Taran Wanderer
Alexander,Lloyd,The Foundling and Other Tales of Prydain
Alexander,Lloyd,The Illyrian Adventure
Alexander,Lloyd,The El Dorado Adventure
Alexander,Lloyd,The First Two Lives of Lukas-Kasha
Alihieri,Dante,The Divine Comedy
Allende,Isabelle,The House of Spirits
Allende,Isabelle,Paula
Allende,Isabelle,The stories of Eva Luna
Allende,Isabelle,Daughter of fortune
Allende,Isabel,Of Love and shadows
Allison,Dorothy,Bastard out of Carolina
Alvarez,Julia,In the name of Salome
Alverez,Julia,In the Time of the butterflies
Alverez,Julia,How the Garcia girls lost their accent
Anderson,Hans Christian,Fairy Tales and Stories
Anderson,Hans Christian,Fairy Tales and Stories
Angelou,Maya,I know why the Caged bird sings
Anon.,,Go ask Alice
Anthony,Piers,A Spell for chanmelean
Anthony,Piers,The Source of Magic
Anthony,Piers,Castle Roogna
Anthony,Piers,Centaur Aisle
Anthony,Piers,"Ogre, Ogre"
Anthony,Piers,Night Mare
Anthony,Piers,Dragon On a Pedestal
Anthony,Piers,Crewel Luge: A Caustic Yarn
Anthony,Piers,Golem In the Gears
Anthony,Piers,Vale of the Vole
Anthony,Piers,Heaven Cent 
Anthony,Piers,Man from Mundania
Anthony,Piers,Isle of View
Anthony,Piers,Question Quest
Anthony,Piers,The Color of Her Panties
Anthony,Piers, Demons Don't Dream
Anthony,Piers,Harpy Thyme
Anthony,Piers,Geis of the Gargoyle 
Anthony,Piers,Roc and a Hard Place
Anthony,Piers,Chthon Aka:-
Anthony,Piers,Phthor
Anthony,Piers,Sos the Rope
Anthony,Piers,Var the Stick
Anthony,Piers,Neq the Sword
Anthony,Piers,Cluster
Anthony,Piers,Vicinity Cluster
Anthony,Piers,Chaining the Lady
Anthony,Piers,Kirlian Quest
Anthony,Piers,Thousandstar
Anthony,Piers,Viscous Circle
Anthony,Piers,God of Tarot
Anthony,Piers,2. Vision of Tarot
Anthony,Piers,3. Faith of Tarot
Anthony,Piers,1. Split Infinity
Anthony,Piers,2. Blue Adept
Anthony,Piers,Juxtaposition
Anthony,Piers,5. Out of Phase
Anthony,Piers,6. Robot Adept
Anthony,Piers,7. Unicorn Point
Anthony,Piers,8. Phaze Doubt
Anthony,Piers,Refugee
Anthony,Piers,2. Mercenary (SF)
Anthony,Piers,3. Politician (SF)
Anthony,Piers,Executive
Anthony,Piers,5. Statesman (SF)
Anthony,Piers,1. On A Pale Horse (F)
Anthony,Piers,2. Bearing An Hourglass (F)
Anthony,Piers,With A Tangled Skein
Anthony,Piers,4. Wielding A Red Sword (F)
Anthony,Piers,5. Being A Green Mother (F)
Anthony,Piers,For The Love of Evil
Anthony,Piers, And Eternity
Anthony,Piers,1. Virtual Mode (F)
Anthony,Piers,2. Factual Mode (F)
Anthony,Piers,3. Chaos Mode (F)
Anthony,Piers,4. DoOon Mode (F)
Anthony,Piers,1. Isle of Woman (F)
Anthony,Piers,Hard Sell (SF)
Anthony,Piers,Kilobyte (SF)
Anthony,Piers,Macroscope (SF)
Anthony,Piers,Mer-Cycle (SF)
Asimov,Isaac,Foundation
Asimov,Isaac,The Naked Sun
Asimov,Isaac,The Caves of Steel
Asimov,Isaac,"I, Robot"
Asimov,Isaac,The Robots of Dawn
Asimov,Isaac,Foundation's Edge
Atwood,Margaret,Oryx and Crake
Atwood,Margaret,Cat's Eye
Atwood,Margaret,The Handmaid's Tale
Atwood,Margaret,The Edible Woman
Atwood,Margaret,Alias Grace
Atwood,Margaret,The Blind Assasin
Atwood,Margaret,Surfacing
Atwood,Margaret,The robber bride
Atwood,Margaret,Bluebeard's Egg
Atwood,Margaret,Surfacing
Atwoon,Margaret,Lady Oracle
Auel,Jean M.,Clan of the cavebear
Auel,Jean M.,The Plains of Passage
Auel,Jean M.,Valley of the Horsese
Auel,Jean M.,The Mammoth Hunters
Augustine,St.,Confessions
Austen,Jane,Pride and Prejudice
Austen,Jane,Emma
Austen,Jane,Northanger Abbey
Austen,Jane,Mansfield Park
Austen,Jane,Persuasion
Austen,Jane,Emma
Bacall,Lauren,By Myself
Bacall,Lauren,By Myself
Bach,Richard,Jonathan Livingstone Seagull
Banks,Russell,Rule of the Bone
Beagle,Peter S.,A Fine and Private Place
Beckett,Samuel,Waiting for Godot
Begley,Louis ,Wartime Lies
Bennett,Nigel,Keeper Of The King
Black,Lawrence,The Burgler in the closet
Bradbury,Ray,The Martian Chronicles
Bronte,Emily,Wurthering Heights
Brooks,Terry,The sword of Shanara
Brooks,Terry,Amgic Kingdom for sale
Brooks,Terry,The elfstones of shanara
Brooks,Terry,Druid Of Shannara
Brooks,Terry,Elf Queen Of Shannara
Brooks,Terry,Talismans Of Shannara
Brooks,Terry,Witches' Brew
Brown,Dan,The DaVinci Code
Brown,Dan,Angels and Demons
Brown,Arnold R.,Lizzie Borden
Buck,Pearl S.,The Good Earth
Buck,Pearl S.,Portrait of a Marriage
